region,date,dis,id,catg,target
101,31/12/1994,60,train_Client_0,11,0
107,29/5/2002,69,train_Client_1,11,0
301,13/3/1986,62,train_Client_10,11,0
105,11/7/1996,69,train_Client_100,11,0
303,14/10/2014,62,train_Client_1000,11,0
103,29/9/1993,69,train_Client_10000,11,0
309,7/6/2012,62,train_Client_100000,11,0
101,25/10/2011,60,train_Client_100003,11,0
311,30/6/2006,63,train_Client_100004,12,0
107,20/5/2005,69,train_Client_100006,11,0
101,28/5/2009,60,train_Client_100007,11,0
104,22/10/2002,69,train_Client_100008,11,0
311,6/11/2006,63,train_Client_100009,11,0
104,25/5/1999,69,train_Client_100010,11,0
311,10/2/2012,63,train_Client_100011,11,0
101,25/4/2006,60,train_Client_100012,11,0
101,19/5/1998,60,train_Client_100014,11,0
311,30/11/1999,63,train_Client_100015,11,0
104,17/11/2011,69,train_Client_100017,11,0
104,7/11/1983,69,train_Client_100019,11,0
101,8/12/2003,60,train_Client_100020,11,0
104,13/7/2017,69,train_Client_100021,51,0
306,29/12/1989,63,train_Client_100023,11,0
311,17/10/2014,63,train_Client_100026,11,0
306,19/8/1998,63,train_Client_100027,11,0
301,30/12/1981,62,train_Client_100029,11,0
101,22/12/1997,60,train_Client_10003,11,0
301,17/10/1983,62,train_Client_100031,11,0
308,7/11/2012,63,train_Client_100032,11,1
104,9/7/2015,69,train_Client_100035,11,0
301,2/1/2012,62,train_Client_100036,11,0
307,16/9/2009,62,train_Client_100037,11,1
306,25/12/2000,63,train_Client_100038,11,0
101,5/5/1998,60,train_Client_100039,11,0
313,3/3/2010,63,train_Client_100040,11,0
303,22/6/2016,62,train_Client_100041,11,0
101,16/4/1979,60,train_Client_100042,11,0
101,13/2/2011,60,train_Client_100043,11,0
301,31/10/1984,62,train_Client_100044,11,0
101,23/2/2004,60,train_Client_100047,11,0
101,26/10/2010,63,train_Client_100048,11,0
104,8/4/2009,69,train_Client_10005,11,0
303,12/3/2003,62,train_Client_100051,11,0
303,19/2/2007,62,train_Client_100053,11,0
104,20/12/2012,69,train_Client_100055,11,0
310,31/12/1996,62,train_Client_100056,11,0
301,26/4/1977,62,train_Client_100057,11,0
304,14/10/2014,62,train_Client_100059,11,0
104,8/4/2002,69,train_Client_10006,11,0
104,7/1/2008,69,train_Client_100060,11,0
312,11/5/2000,63,train_Client_100061,11,0
101,22/5/2007,60,train_Client_100062,11,0
101,29/8/2016,60,train_Client_100063,11,0
104,13/5/2011,69,train_Client_100064,11,0
101,28/11/2011,60,train_Client_100066,11,0
312,20/12/1990,63,train_Client_100067,11,0
301,26/12/2014,62,train_Client_100068,11,0
